车ID,O_time,O_lng,O_lat,D_time,D_lng,D_lat
159438,2017-12-03 23:59:53,116.288762,39.826347,2017-12-03 23:59:56,116.288777,39.826328
174938,2017-12-03 23:59:57,116.409727,39.947917,2017-12-04 00:00:00,116.30396,39.850045
156494,2017-12-03 23:59:55,116.410722,39.938192,2017-12-04 00:00:01,116.344782,39.866039
156451,2017-12-03 23:59:58,116.654402,40.205558,2017-12-04 00:00:03,116.219727,39.977278
164819,2017-12-03 23:59:55,116.59357,39.913705,2017-12-04 00:00:03,116.095347,39.645903
489367,2017-12-03 23:59:54,116.295674,39.925837,2017-12-04 00:00:02,116.295643,39.926552
156427,2017-12-03 23:59:53,116.594937,39.908273,2017-12-04 00:00:05,116.237786,40.047376
470389,2017-12-03 23:59:55,116.399627,39.957625,2017-12-04 00:00:15,116.39925,39.956651
156406,2017-12-04 00:00:02,116.389286,39.932139,2017-12-04 00:00:09,116.207473,39.821458
492140,2017-12-03 23:59:57,116.507576,39.929953,2017-12-04 00:00:11,116.50761,39.930775
254029,2017-12-03 23:59:53,116.40981,40.036305,2017-12-04 00:00:13,116.408062,40.036202
150364,2017-12-04 00:00:01,116.331028,39.990678,2017-12-04 00:00:14,116.331042,39.990464
156473,2017-12-04 00:00:01,116.48388,39.892958,2017-12-04 00:00:14,116.163207,39.806893
164807,2017-12-04 00:00:00,116.50648,39.914815,2017-12-04 00:00:11,116.408692,39.453693
102654,2017-12-04 00:00:00,116.1651,39.770808,2017-12-04 00:00:15,116.16535,39.771087
254029,2017-12-04 00:00:05,116.408803,40.036248,2017-12-04 00:00:17,116.407852,40.0362
174715,2017-12-03 23:59:58,116.356488,39.949355,2017-12-04 00:00:18,116.356635,39.94918
431460,2017-12-03 23:59:57,116.327203,40.039295,2017-12-04 00:00:18,116.326043,40.040872
486335,2017-12-03 23:59:43,116.380412,39.996398,2017-12-04 00:00:05,116.380412,39.996398
495365,2017-12-03 23:59:59,116.419364,39.955862,2017-12-04 00:00:21,116.420695,39.95591
272877,2017-12-03 23:59:58,116.424173,39.993023,2017-12-04 00:00:21,116.424348,39.9941
453497,2017-12-03 23:59:59,116.236475,39.896002,2017-12-04 00:00:23,116.235029,39.895933
100194,2017-12-04 00:00:02,116.54058,40.024978,2017-12-04 00:00:18,116.438442,39.89512
486568,2017-12-04 00:00:01,116.558758,39.937918,2017-12-04 00:00:23,116.558932,39.939582
154850,2017-12-04 00:00:01,116.20239,39.889695,2017-12-04 00:00:23,116.200308,39.888437
194079,2017-12-03 23:59:59,116.396652,39.947473,2017-12-04 00:00:23,116.400348,39.947387
184780,2017-12-04 00:00:03,116.410479,39.942883,2017-12-04 00:00:25,116.41049,39.941749
174938,2017-12-04 00:00:07,116.40746,39.94785,2017-12-04 00:00:24,116.30396,39.850045
156428,2017-12-03 23:59:58,116.23426,39.92462,2017-12-04 00:00:24,116.469913,39.70318
122407,2017-12-04 00:00:01,116.532057,39.955542,2017-12-04 00:00:25,116.532412,39.954803
156494,2017-12-04 00:00:07,116.410765,39.936902,2017-12-04 00:00:25,116.34654,39.866549
300514,2017-12-03 23:59:54,116.319168,39.971882,2017-12-04 00:00:27,116.319288,39.96937
426015,2017-12-04 00:00:00,116.409485,40.03846,2017-12-04 00:00:14,116.408937,40.03927
156482,2017-12-04 00:00:02,116.414838,39.879102,2017-12-04 00:00:27,115.982323,39.645887
489332,2017-12-03 23:59:46,116.312697,39.922372,2017-12-04 00:00:28,116.317522,39.92206
488159,2017-12-03 23:59:57,116.150523,39.812416999999996,2017-12-04 00:00:29,116.148467,39.812925
254102,2017-12-03 23:59:55,116.432508,39.857915,2017-12-04 00:00:28,116.4351,39.857268
577437,2017-12-03 23:59:53,116.35554,39.9855,2017-12-04 00:00:28,116.359262,39.985442
487165,2017-12-03 23:59:54,116.541156,39.896868,2017-12-04 00:00:29,116.543114,39.896885
174892,2017-12-03 23:59:53,116.55315,39.950562,2017-12-04 00:00:29,116.552555,39.950807
180448,2017-12-03 23:59:57,116.296788,39.887434999999996,2017-12-04 00:00:28,116.29904,39.888658
20634,2017-12-03 23:59:54,116.51209,39.91343,2017-12-04 00:00:30,116.512308,39.914302
492193,2017-12-03 23:59:57,116.323961,39.94774,2017-12-04 00:00:32,116.325017,39.949088
453489,2017-12-04 00:00:02,116.425333,39.925986,2017-12-04 00:00:35,116.424602,39.925311
174938,2017-12-04 00:00:31,116.40232,39.947723,2017-12-04 00:00:36,116.30396,39.850045
156494,2017-12-04 00:00:31,116.410867,39.934027,2017-12-04 00:00:37,116.346548,39.866551
156406,2017-12-04 00:00:26,116.387325,39.932126,2017-12-04 00:00:37,116.20583,39.816462
194553,2017-12-03 23:59:59,116.140488,39.785476,2017-12-04 00:00:38,116.142414,39.785404
164805,2017-12-03 23:59:56,116.331303,39.921785,2017-12-04 00:00:39,116.261642,39.715802
125487,2017-12-03 23:59:55,116.111535,39.726207,2017-12-04 00:00:42,116.114612,39.727112
154762,2017-12-04 00:00:02,116.43762,39.932342,2017-12-04 00:00:44,116.437527,39.929882
